Date,Numbers,Lucky Stars,Payouts,Rolled
Tuesday 10th Aug 2021,"9, 37, 47, 48, 49","2, 7","£80,768,518
Rolled",True
Friday 6th Aug 2021,"7, 14, 21, 26, 32","4, 12","£71,953,143
Rolled",True
Tuesday 3rd Aug 2021,"17, 21, 23, 45, 46","7, 11","£61,543,198
Rolled",True
Friday 30th Jul 2021,"10, 23, 33, 35, 37","5, 10","£53,612,736
Rolled",True
Tuesday 27th Jul 2021,"5, 9, 19, 21, 25","10, 12","£41,620,685
Rolled",True
Friday 23rd Jul 2021,"23, 24, 26, 34, 50","2, 4","£33,265,919
Rolled",True
Tuesday 20th Jul 2021,"3, 12, 19, 41, 48","6, 9","£22,680,547
Rolled",True
Friday 16th Jul 2021,"5, 16, 42, 47, 49","3, 11","£14,591,100
Rolled",True
Tuesday 13th Jul 2021,"5, 6, 8, 11, 22","3, 4","£22,605,876",False
Friday 9th Jul 2021,"6, 19, 36, 37, 49","4, 11","£14,545,200
Rolled",True
Tuesday 6th Jul 2021,"2, 5, 21, 27, 42","9, 11","£14,572,400",False
Friday 2nd Jul 2021,"9, 14, 29, 38, 49","7, 10","£66,920,458",False
Tuesday 29th Jun 2021,"6, 12, 20, 24, 48","5, 6","£55,319,641
Rolled",True
Friday 25th Jun 2021,"1, 29, 30, 33, 36","3, 12","£46,189,363
Rolled",True
Tuesday 22nd Jun 2021,"6, 24, 26, 27, 41","3, 8","£34,205,994
Rolled",True
Friday 18th Jun 2021,"11, 20, 27, 30, 41","3, 5","£25,792,320
Rolled",True
Tuesday 15th Jun 2021,"11, 21, 26, 30, 31","2, 3","£14,650,600
Rolled",True
Friday 11th Jun 2021,"9, 17, 21, 33, 39","7, 11","£26,086,547",False
Tuesday 8th Jun 2021,"2, 11, 26, 36, 47","7, 9","£14,630,200
Rolled",True
Friday 4th Jun 2021,"7, 20, 36, 40, 46","2, 4","£111,540,000",False
Tuesday 1st Jun 2021,"3, 10, 26, 35, 44","6, 7","£76,697,764
Rolled",True
Friday 28th May 2021,"11, 13, 16, 34, 40","1, 12","£67,621,751
Rolled",True
Tuesday 25th May 2021,"1, 21, 26, 30, 38","2, 8","£57,062,224
Rolled",True
Friday 21st May 2021,"2, 9, 13, 15, 35","3, 10","£47,309,401
Rolled",True
Tuesday 18th May 2021,"5, 13, 38, 39, 40","4, 12","£35,026,951
Rolled",True
Friday 14th May 2021,"6, 16, 18, 29, 38","6, 11","£26,067,927
Rolled",True
Tuesday 11th May 2021,"14, 25, 34, 43, 46","5, 6","£14,611,500
Rolled",True
Friday 7th May 2021,"14, 22, 33, 38, 47","8, 9","£60,398,926",False
Tuesday 4th May 2021,"3, 10, 13, 28, 46","4, 11","£46,934,848
Rolled",True
Friday 30th Apr 2021,"1, 16, 24, 28, 46","2, 11","£37,822,859
Rolled",True
Tuesday 27th Apr 2021,"13, 14, 24, 35, 49","1, 10","£23,689,352
Rolled",True
Friday 23rd Apr 2021,"3, 14, 15, 19, 29","2, 8","£14,818,900
Rolled",True
Tuesday 20th Apr 2021,"5, 17, 28, 41, 46","10, 11","£59,041,812.70",False
Friday 16th Apr 2021,"6, 11, 29, 40, 48","5, 9","£49,320,956
Rolled",True
Tuesday 13th Apr 2021,"16, 20, 31, 47, 50","2, 8","£36,649,681
Rolled",True
Friday 9th Apr 2021,"2, 8, 32, 35, 44","8, 11","£27,117,635
Rolled",True
Tuesday 6th Apr 2021,"2, 21, 37, 38, 50","7, 8","£14,611,500
Rolled",True
Friday 2nd Apr 2021,"4, 21, 34, 40, 47","2, 5","£122,550,350.80",False
Tuesday 30th Mar 2021,"24, 27, 28, 29, 42","4, 8","£109,533,174
Rolled",True
Friday 26th Mar 2021,"10, 12, 37, 49, 50","3, 8","£98,680,896
Rolled",True
Tuesday 23rd Mar 2021,"2, 26, 29, 36, 49","3, 9","£85,405,694
Rolled",True
Friday 19th Mar 2021,"3, 9, 35, 43, 44","1, 10","£75,281,575
Rolled",True
Tuesday 16th Mar 2021,"23, 25, 32, 35, 47","2, 6","£62,934,911
Rolled",True
Friday 12th Mar 2021,"4, 6, 9, 11, 44","10, 11","£52,197,036
Rolled",True
Tuesday 9th Mar 2021,"1, 16, 21, 32, 33","11, 12","£37,825,963
Rolled",True
Friday 5th Mar 2021,"4, 5, 39, 46, 48","7, 10","£27,914,329
Rolled",True
Tuesday 2nd Mar 2021,"2, 19, 24, 26, 49","6, 7","£14,728,800
Rolled",True
Friday 26th Feb 2021,"6, 12, 22, 29, 33","6, 11","£182,028,000",False
Tuesday 23rd Feb 2021,"9, 18, 30, 39, 45","1, 3","£180,663,000
Rolled",True
Friday 19th Feb 2021,"4, 12, 25, 46, 48","7, 12","£178,761,140
Rolled",True
Tuesday 16th Feb 2021,"5, 9, 25, 29, 30","6, 7","£157,644,778
Rolled",True
Friday 12th Feb 2021,"7, 23, 30, 32, 36","8, 12","£144,125,471
Rolled",True
Tuesday 9th Feb 2021,"5, 10, 24, 31, 37","9, 10","£127,347,464
Rolled",True
Friday 5th Feb 2021,"12, 19, 37, 44, 45","2, 6","£114,088,000
Rolled",True
